ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-11-12 15:00:00+00:00,34,24,637546634,121.74,121.74,121.74,121.74,3,MDY   250620C00500000
2024-11-12 15:00:00+00:00,34,34,637546634,121.74,121.74,121.74,121.74,3,MDY   250620C00500000
2024-11-12 15:00:00+00:00,34,33,637537344,4.4,4.4,4.4,4.4,1,MDY   241220C00630000
2024-11-12 16:00:00+00:00,34,37,620758944,4.0,4.0,4.0,4.0,1,MDY   241115C00605000
2024-11-12 16:00:00+00:00,34,33,620777919,16.9,16.9,16.9,16.9,17,MDY   250117C00605000
2024-11-12 16:00:00+00:00,34,26,620773842,19.7,19.7,19.7,19.7,17,MDY   250117C00600000
2024-11-12 16:00:00+00:00,34,22,637540072,10.57,10.57,10.57,10.57,1,MDY   241220P00600000
2024-11-12 16:00:00+00:00,34,33,620777924,14.5,14.5,14.5,14.5,17,MDY   250117C00610000
2024-11-12 16:00:00+00:00,34,35,620761553,12.8,12.8,12.8,12.8,1,MDY   250117C00615000
2024-11-12 17:00:00+00:00,34,22,637534666,23.35,23.35,23.35,23.35,5,MDY   241220C00585000
2024-11-12 17:00:00+00:00,34,32,620758961,21.8,21.8,21.8,21.8,5,MDY   241115C00580000
2024-11-12 17:00:00+00:00,34,35,620779426,5.87,5.87,5.87,5.87,1,MDY   241115C00600000
2024-11-12 17:00:00+00:00,34,22,620758961,22.65,22.65,22.65,22.65,5,MDY   241115C00580000
2024-11-12 17:00:00+00:00,34,37,620758944,3.0,3.0,3.0,3.0,1,MDY   241115C00605000
2024-11-12 17:00:00+00:00,34,37,637534671,3.6,3.6,3.6,3.6,2,MDY   241220P00570000
2024-11-12 17:00:00+00:00,34,29,620777924,14.95,14.95,14.95,14.95,1,MDY   250117C00610000
2024-11-12 17:00:00+00:00,34,29,620765703,2.55,2.55,2.55,2.55,1,MDY   250117P00545000
2024-11-12 17:00:00+00:00,34,35,620763042,6.12,6.12,6.12,6.12,1,MDY   241115P00605000
